mcs,qm,rate,tbs,snr_db,bler,n_blocks,n_errors
14,4,0.5400,8456,6.0,1.000000,40,40
14,4,0.5400,8456,7.0,1.000000,40,40
14,4,0.5400,8456,8.0,0.850000,40,34
14,4,0.5400,8456,9.0,0.000000,100,0
14,4,0.5400,8456,10.0,0.000000,200,0
15,4,0.6016,9480,8.0,1.000000,40,40
15,4,0.6016,9480,9.0,0.633333,60,38
15,4,0.6016,9480,10.0,0.000000,100,0
15,4,0.6016,9480,11.0,0.000000,200,0
16,4,0.6426,9992,8.0,1.000000,40,40
16,4,0.6426,9992,9.0,1.000000,40,40
16,4,0.6426,9992,10.0,0.000000,100,0
16,4,0.6426,9992,11.0,0.000000,200,0
17,6,0.4277,9992,8.0,1.000000,40,40
17,6,0.4277,9992,9.0,1.000000,40,40
17,6,0.4277,9992,10.0,1.000000,40,40
17,6,0.4277,9992,11.0,0.000000,100,0
17,6,0.4277,9992,12.0,0.000000,200,0
18,6,0.4551,10760,8.0,1.000000,40,40
18,6,0.4551,10760,9.0,1.000000,40,40
18,6,0.4551,10760,10.0,1.000000,40,40
18,6,0.4551,10760,11.0,0.450000,80,36
18,6,0.4551,10760,12.0,0.000000,100,0
18,6,0.4551,10760,13.0,0.000000,200,0
19,6,0.5049,11784,10.0,1.000000,40,40
19,6,0.5049,11784,11.0,1.000000,40,40
19,6,0.5049,11784,12.0,0.095000,200,19
19,6,0.5049,11784,13.0,0.000000,100,0
19,6,0.5049,11784,14.0,0.000000,200,0
20,6,0.5537,13064,10.0,1.000000,40,40
20,6,0.5537,13064,11.0,1.000000,40,40
20,6,0.5537,13064,12.0,1.000000,40,40
20,6,0.5537,13064,13.0,0.115000,200,23
20,6,0.5537,13064,14.0,0.000000,100,0
20,6,0.5537,13064,15.0,0.000000,200,0
21,6,0.6016,14088,10.0,1.000000,40,40
21,6,0.6016,14088,11.0,1.000000,40,40
21,6,0.6016,14088,12.0,1.000000,40,40
21,6,0.6016,14088,13.0,1.000000,40,40
21,6,0.6016,14088,14.0,0.020000,200,4
21,6,0.6016,14088,15.0,0.000000,100,0
21,6,0.6016,14088,16.0,0.000000,200,0
22,6,0.6504,15112,13.0,1.000000,40,40
22,6,0.6504,15112,14.0,1.000000,40,40
22,6,0.6504,15112,15.0,0.000000,100,0
22,6,0.6504,15112,16.0,0.000000,200,0
23,6,0.7021,16392,13.0,1.000000,40,40
23,6,0.7021,16392,14.0,1.000000,40,40
23,6,0.7021,16392,15.0,1.000000,40,40
23,6,0.7021,16392,16.0,0.000000,100,0
23,6,0.7021,16392,17.0,0.000000,200,0
24,6,0.7539,17424,13.0,1.000000,40,40
24,6,0.7539,17424,14.0,1.000000,40,40
24,6,0.7539,17424,15.0,1.000000,40,40
24,6,0.7539,17424,16.0,0.900000,40,36
24,6,0.7539,17424,17.0,0.000000,100,0
24,6,0.7539,17424,18.0,0.000000,200,0
25,6,0.8027,18960,16.0,1.000000,40,40
25,6,0.8027,18960,17.0,0.975000,40,39
25,6,0.8027,18960,18.0,0.015000,200,3
25,6,0.8027,18960,19.0,0.000000,100,0
25,6,0.8027,18960,20.0,0.000000,200,0
26,6,0.8525,19968,16.0,1.000000,40,40
26,6,0.8525,19968,17.0,1.000000,40,40
26,6,0.8525,19968,18.0,0.925000,40,37
26,6,0.8525,19968,19.0,0.005000,200,1
26,6,0.8525,19968,20.0,0.000000,100,0
26,6,0.8525,19968,21.0,0.000000,200,0
27,6,0.8887,21000,16.0,1.000000,40,40
27,6,0.8887,21000,17.0,1.000000,40,40
27,6,0.8887,21000,18.0,1.000000,40,40
27,6,0.8887,21000,19.0,0.775000,40,31
27,6,0.8887,21000,20.0,0.000000,100,0
27,6,0.8887,21000,21.0,0.000000,200,0
